آبگینه
گوران
گووه‌ند
گیتا
گیتی
گیسو
گیلا
گیلدا
لادن
لاله
لاوچاک
لهراسب
گیلدا
لیزان
مازون
مازیار
ماکان
مامک
مرجان
ماندان
ماندانا
مانشت
مانلی
ماهان
ماه‌پری
ماهتو
ماه‌جهان
ماه‌چهر
ماهدخت
ماهزاد
ماهک
ماهنوش
محمد
محمود
مهرانه
مرجانه
مرداس
مرداویج
مرضیه
مزدک
مژده
مژگان
مستانه
مسل
مشکان‌دخت
مشکین‌دخت
معصومه
ملیحه
منوچهر
منیژه
مهبد
مهتا
مهتاب
مهداد
مهدخت
مهدیار
مهدیس
مهرا
مهراب
پردیس
مهراد
مهران
مهرانگیز
روح‌انگیز
مهرانه
مهرخ
مهرداد
مهرریز
مهرزاد
مهرسا
مهرشاد
مهرک
مهرگان
مهرنگ
مهروا
مهری
مه‌ریوان
مهزاد
مهراز
مهزیار
مهسا
مهستی
مهشاد
مهشید
مهکامه
گردآفرید
مهناز
مهنوش
مهیار
مهین
موژان
مونا
میترا
میثم
میخک
میران
میگل
میلاد
میلان
مینا
مینو
نازآفرین
نازگل
نازلی
نازنین
نازیلا
ناژیلا
ناژین
ناسیکو
ناصر
نامیا
ناهید
نچیروان
نرگس
نرمن
نرمین
نریمان
نسترن
نسرین
نسکو
نکیسا
نگار
نگارین
نگین
نهال
نه‌به‌ز 
نه‌سره‌و
نه‌که‌روز
نه‌هروز
نه‌وشیروان 
نوا
نوذر
نوژن
نوش‌آفرین
نوشزاد
نوشین
نوید
نیاسا
نیکسا
نیکو
نیکی
نیلوفر
نیما
نیما
نیوشا
نیوشا
هاجر
هامون
هدا
هرمز
هما
هنگامه
هوتن
هورداد
هورمزد
هورموند 
هوروش
هوشنگ
هوشیار
هومان
هومن
وریا
ونداد
وندیداد
وهومن
ویس
یادگار
یارا
یاسمن
یاسمین
یاور
یزدان
یزدگرد
یسنا
یکتا
یگانه
یوتاب

































آریا منش
آریا مهر
آرین








آزرم‌گان



















آیین گشسب
























اشک‌بوس









الاهه













ایران‌بانو
ایران‌دخت














بزرگ‌مهر


به آیین 



به‌بد
به‌بداد














































































ترنج














جهانبخش
جهان‌دار
جهان‌شاه
جهان‌گیر












خوب‌یار












دل‌آرا
دل‌آرام
دل‌کش


دل‌سا



























مه‌ناز

































سرنا










رمیسا
























شاه‌رخ
شاه‌کام





شب‌ره









شه‌رخ





شه مال
شه مزین


















علیرضا





فرخ‌زاد




























فری‌ماه

فری‌ناز

فه راد

پیروز









کام‌شاد
کام‌یار











شووان



کی‌خسرو
کی‌قباد



کیومرس
گردافرید







گل‌آوژ
گل‌بهار / گل بهار
گل‌بیز
گل‌پونه
گل‌تاج
گل‌رخ
گل‌رو
گل‌شن
گل‌شید
گل‌شیفته
گل‌نار
مصطفی
گل‌نوش




















































مه‌بد
مه‌تا
مه‌تاب
مه‌داد
مه‌دخت

مه‌دیس






روحانگیز

مه‌رخ



















گردافرید















































نوشافرین
نوش‌زاد
نوش‌این


نیک‌سا






نیوش‌آ





















یارآ






یک‌تا

یوت‌آب
abgineh
abnous
Atrin
atena
Atropat
atoosa
azar
azarafrouz
Azarakhsh
azargoon
Azarmeh
azarnoush
Azeen
Araad
Araaz
Arta
Artan
artemis
Arteen
arezoo
arash
arsham
arman
armita
armin
armina
armineh
arvin
aria
Ariaban
ariadokht
ariafar
ariaman
ariamanesh
ariamehr
ariaan
ariana
ariana
arianoush
Arian
arina
ario
ariobarzan
azadeh
Azarmgan
azarmidokht
Asad
asana
Astyaj
astiaj
Astyag
agrin

alaleh
anahita
andria
anoosha
ahoo
avid
avideh
avijeh
avisa
avin
avineh
Aiingoshasb
abrisham
Ehsan
akhtar
akhgar
artemis

ardashir
Adel
ardalan
ardavan
arjang
Arsalan
Arsham
arashk
arshia
arghavan
armail
arousha
arvand
ajdar
ester
Eshagh
esfandiar
ashkan
ashkboos
afrasiab
afrooz
afrough
afsaneh
afshar
afshan
afshin
alborz
Elham
Elahe
alvand
Elyas
amtis

amitis
omid
anahid
anoush
anoosheh
anooshirvan
urmazd
orang

iranbanoo
irandokht
iraj
irman
babak
barbod
bamdad
bamshad
bamin
bardia
barzan
borzoo
barzin
Barsam
borna
broumand
bozorgmehr
banafsheh

behaeen
baharan
baharak
bahareh
behbod
behbod
behdokht
behdis
behrad
bahram
behrokh
behrang
behrooz
behzad
behshad
behshid
bahman
bahmansh
behnaz

behnam

behnoosh
bita
bijan

padina
parsa
Parmida
parmida
parmis
paniz
paya
pedram
padideh
pardis
parastoo
parshan
parand
parnia
parnian
parnian
parham
parvaneh
parviz
parvin
paria
parichehr
paridokht
pariroo
parizad
parisa

parishad
parinaz
parivash
pejman


pashootan
pegah
pahbod
poopak
pouran
puran
pourandokht
pourdad
pouri
pouria
poulad
pouneh

pouya
pooyan
payam
piran
pirooz
pirooz
pishdad
peyman
taban
tabandeh
tarsa
termeh
torang
tahmasb
tahamtan
tahmoures
tahmineh
Tahnia
Touran
tourandokht
touraj
tirdad
Teerooj
Tirij
tina
jamasb
jamshid
jahanbakhsh
jahandar
jahanshah
jahangir
chakameh
changiz
chekoo
chooman
chia
chiakoo
khodabakhsh
khodadad
khodayar
khosro
khashayar
khonav
khoobyar
khonas
dadmehr
dadooye
dara
darab
daryoush
damoon
Douman
danoo
Shahou
danoush
Dorray
delara
delaram
delkash
delvaseh
dena
Delsa
Dooka
diako
Dina
radman
radin
Razan

raman
rambod
ramtin
ramin
ramina
rakhshan
rastan
rostam
Dorna
roksana
Rozita
roham
roja
roudabeh
rouzbeh
rojina
roshanak
ronak
rioniz
zaal
Mahnaz
zamyad
Zanyar
zavash
Zayeleh
zarmehr
zarin
zarindokht
zand
Zahra
Zohreh
zoobin
zoya
Joubin
zina
Zeinab
Zinat
zivar

Rayan
Jila
Jina
Jinar

sarina
sasan
saghar
Saghi
salar
saman
sanaz
sepanta
sepehr
sepideh
Sorena
setareh
sargol
soroush
Ramyar
sarvenaz
Sorya
Salman
samaneh
Samira
sohrab
Romisa
sahand
Soheila
soudabeh
Tanaz
Soode
souren
sourena
soozan
soosan
soshianet
soshians
sogol
siamak
Taha
Siavash
sirous
Solmaz
Sima
Simin
sina
shapoor
Shadan
shadmehr
Shanar
shahrokh
shakam
shahoo
shahin
shaya
shayan
shabahang
Sahbrah
Shabnam
shervin
Shakiba
shahab
shahbod
shahrad
shahram
Sharbanoo
Tonia
Shahrokh
shahrdad
Shahrzad
Shahrnaz
shahrooz
shahriar
shahmal
shahmazin
Shahnaz
shahnam
shahyar
Shahin
shoope
Shooka
Sheyda
Shide
shirzad
shirkoo
shirang
shirvan
shirizdan
Shirin
Shirin banou
Shima
Shiva
Ali
Alireza
Fakhtak
faramarz
Faranak
farbod
farokh
farahzad
fardad
fardin
farzad
farzam
farzan
farzin
farsa
farshad
farshid
Tirdad
Farshide
farnad
Farnaz
farnam
Farnoosh
Farnia
farhad
farham
farhood
Farvartish
Foroozande
Forough
forouhar
farya
Fariba
Parham
fariborz
Faryma
FariMah


faham
fahrad

firooz
Ghasem
kardo
karzan
karan
karookh
kazio
kajhao
kambiz
kamran
kamshad
kamyar
kaveh
kavous
Katayun
Kamand
kenarang
kouros
Kourosh
Mana
koosha
koomas
kiarash
Showan

kianoosh
kiavosh
keikhosro
Keyghobad
keykavoos
keyvan
keyvoos
kiomars

garsivaz
garshasb
gorgin

gashtasb













Mostafa

Goli
golinoush
goodarz
Gouran

Gita
Giti
Gisoo
Gila
Gilda
Ladan
Laleh

lohraseb
Gilda
lizan
Mazoun
maziar
makan
Mamak
Marjhan
Mandan
Mandana

Manely
mahan
Mahpari

MahJahan
Mahchehr
Mahdokht
Mahzad
Mahak
MahNoush
Mohamad
Mahmood
Mehrane
Marjane
mordas
mardawich
Marzie
mazdak
Mojdeh
Mojgan
Mastaneh



Masoume
Malihe
manouchehr
Manijeh
mahbod
Mahta
Mahtab
mahdad
Mahdokht
mahdiar
Mahdis
Mehra
mehrab
Pardis
Mehrad
mehran
Mehrangiz
Rouhangiz
Mehrane
Mahrokh
mehrdad
Mehrriz
mehrzad
Mehrsa
mehrshad
Mehrak
mehregan
mehrang
Mehrwa
Mehri
Mehrivan
mahzad
Mehraz

Mahsa
Mahasti
mahshad
Mahshid
Mahkame



mahyar






miran

milad
milan




Nazli




nasiko







nariman



nakisa










nozar




navid
niasa




nima

niusha

Hajar
hamoon

hormoz
Homa

hootan
hordad
hormazd
hormond

hooshang
houshyar
hooman
houman

vandad
vandidad

Veis / Veys
yadegar
Yara
Yasaman

yavar
yazdan
yazdgerd
Yasna

abnoos



atousa

azarafrooz

azargoun

azarnoosh
Azin
Arad
Araz



Artin
Arezou















Arian


arianoosh




Azadeh
AzarmGan



Astiaj
astiajh
Astiag


Alale

Andrya
anousha


avide
avijheh

Awin
avine
AiinGoshasb


Aqtar



ardesheer


ardawan
arjhang



Arshya
Arghawan
Armayl
aroosha
Arwand
arjhadr

Eshaq
esfandyar

ashkbus
Afrasyab
afrouz
afroogh
Afsane





Elaheh

Ilias
Ametis




anoosh
anousheh
anushirvan
oormazd


Iran Banoo




Barbad





borzu





banafshe

behayin


bahare








behrouz


behsheed






behnoush

bijhan











parastou






parwaneh











pariwash
pejhman





poupak
pooran

poorandokht
poordad

pooria
poolad
pooneh

pooya
pouyan







Tabande

Terme
Toranj
Tahmaseb

tahmoores
Tahmine
Tahnya
Tooran
Toorandokht
tooraj

Tirouj
Tirijh

Jamaseb




jahangeer
Chakame

Chekou
chuman

chiaku



Khosrow


khubyar





Darioosh
damun
Dooman
danu
Shahou
danoosh



Delkesh
delwaseh


Douka
diakoo
















raham

roodabeh
roozbeh
rojhina





zamiad
Zaniar

Zayele

zarrin
zarrindokht


Zohre
zubin

Jhoobin

Zeynab

ziwar
jhaleh

Jhila
Jhina
Jhinar



saqar
Saqi







Setare

soroosh
Ramiar
Sarvnaz


Samane




soheyla
soodabeh
Tannaz
soodeh
sooren
soorena
souzan
sousan





Syavash
siroos




shapour





shahu

shaia
shaian



Sherwin




shahrum
Shahrbanou

Shahroq




shahryar




shahiar

shoopeh
Shouka

Shideh

shirku




Shirinbanoo

Shiwa

Ali Reza




Farrokh











Farshideh



Farnoush



farhud
Farwartish
Foroozandeh
Foroogh
foroohar





Farimah
Farin
Farinaz

Fahrahad
Foojan
firuz



Karen
karoukh





kamiar
Kawe
kavoos
Katayoun


koros
Koorosh

Kousha
Koumas
Kyarash
Shouvan
Kian
kianush
kiavash
keykhosro
Keyqobad
keykavous
keivan
keivoos
kiumars
Gordafarid
Garsious
Garshaseb


Goshtaseb
Golabetoun
Gleareh
Golavaj
Golbahar
Golbiz
Golpouneh
Goltaj
Golrokh
Golrou
Golshan
Golshid
Golshifteh
Golnar

Golnoush

golinoosh
gudarz
Gooran

Guita

Ghisoe



Lale

Lohrasb


Mazoon
mazyar


Marjan



Maneli



Mahjahan
MahChehr
MahDokht
MahZad

Mahnoosh
mohammad
Mahmoud
Mehraneh
Marjhaneh
Mardas
mardavich
Marzieh

Mojde
Mojhgan
Mastane



Masoumeh
Maliheh
manoochehr
Manije





mahdyar

Mahra





Roohangiz
Mehraneh







Mehrgan

Mehrva

Mehriwan




Mahsiti


Mahkameh














































nouzar


Noushzad
Noushin




Nicky
Niloufar


niosha
Niousha

hamoun


Homa
Hengameh
hutan
hourdad


Hourvash
houshang
hooshyar

hooman

wandad
wandidad

Vase

Yara
Yasaman
Yasin



Yasna
Yekta
Yeganeh
Youtab
علی‌رضا




























Farvahar











Pirouz











Kaweh
Kawous
















K1
Pirooz











Kave
